index,s1,s2,s3,s4,s5,s6,s7
1,472482085179947706542421247890174234585815927342310678789192217661264261127526,7568226138182979795688196544168470180396012357367127697560836597503059770456480,2754836658061921816727942503898207969047164845763045376851652357119590294822886,4564709145763948220371042512016067468922697836841469396124920278916652067390721,12997843601289059006617496568522048680022611330602399755380640362894245088159985,9521844523690079724757921288479471733963480882734430775155531826646573123966701,12669107413914184825501700056825016499128730937548968134912875452579432407974846
2,3144870789677250918960755182486084375986355426298718225599907792599971653875981,6174695866567436268592275341179241255484151051722255602265897391350881309432300,9089475230670556048894560476079470638493386876270612129997968796252728966668959,11889208881986610259867610587186772525014062899943787808796122007305514625585958,14573896820515598901511425674501146915046179122741782638660357024509238286183297,17143539046257521973826005738022593808589735544664596619590673847863899948460976,1065740058265205026101967392814433337261307721400824072123791694963703379255018
3,2249350849359962188171644657617633966328925860607581840472035943995725654083813,10641458101454949318779793446644269065528710665348558423334327366577776659975889,6643926255337786941115062982143225429215929969911524069123593485340356784512254,8789150811955649505886836649051182925774008218607884457303115082689262260856885,17077131771308537013095114447368141555202945411437639587872892158624493089009782,12975473632449275012030512992157421449119317104089383781369643930740253035806968,15016571896325037953402415668355702475906547740874522717256651181442338334412420
4,6034531790123071641629579303303639212082334722010780881305898252917571775582620,13353899999383350753286747512222946387987897261311058249245958440819793618419148,3425709126833662884262121241821241659333263173589426424356899781300869295345611,13314750174368356935974467261971884762885281347468696765565283839172391272689963,5956232140093084007005018802801515961877102894326057913944549049622767084124250,18414946025902192998772542634183494993075576702784321228421256977463589195976426,13626100829901335009858271986244462119713853884220675350068846057883265141918537
5,8902390531745377496602383894590817616311441903749661076866945859307145998150664,11689442346081735359006249905113890303565166302635065118098245023273482858227124,8361155443009073587211598031569218061761173196656212123693897491899010580229385,17449925323474566631927811658893480759282887030124507773117184047589525397321424,1890960985583865591736124017213318659363458914417140707441543125533434843175287,17281448932178493818764685261338771367153162182468327965056817072948127617282905,8024202660416927960885345236459799277501723501343852507573163542616215020152347
6,6033600825756716315785954480346333926475384953025428420657416479095921482448198,11024943345911329666768990155563116359856547227169070636973899624913667179315827,14974027560463840052949107025650347300143486822430926648949449437453237090602893,17880853469414247474326305090608026747336203738810996456584065916714631216309396,1213025571815377480191200965499474833051273531997874380414468280292053323271359,2035334869561578971962561420198051294055545090614371779367218092997095877816736,1815385861705677498931003069767076261965593970349082973979034572423962646781550
7,599390909931496609155108178408769259866909179147802672676150526557042823884299,7811707439064850651221480349858415216634759848990516500144403490342892147614265,3104554086452887675489733129412258001920127565216735802941478108951751738025928,5010326353042782132669249902006977484106436772137866260530655164789417828283265,13529024238834534022760030667642573663193687469753907872911934657855890418386276,10128252242880968895052692041382366670798455213753454960622035805745373275170984,13340405866129261200256617408163036375304164448447913203124239390863662631801366
8,472938366003478664514803206668018614486977734466057650147939777200790856675936,15136094159932019487543705280832199863319995169972403159755521464687001260421342,6924676379891273567667939452619184009732203417896225169896183497647038744908272,12903476027775589806306272491902330790490451366860335039496487440892495776464680,14540097602637793752749321013744960337211314572553327089093152512017576121926589,11834541104477885406997085018147072649894793034975201318686178711022279781293999,4786806533295864769049564505108667728540886754125957728275566037906606754566910
9,12827461262329867618225477953475063230220583069374886828231701142937042904716030,5086313163498432040177629677869600813501836676070219009244322009344167296177202,13841346705400042167275221943056972486610609708708807901964424164032965640711479,2027770886140349098099487979163818512780053278667842147465446042191845471990907,6710376707613701734069194556063498628777016274570133104673949208632399256343440,9356768668872925624474958288819332966218074252104275094126652880948830760605101,9966946769918020769316779177431321525103227211270268115823557059141139984775890
10,10821644433697170969897718559272774198334932623650296970674286435783247060726374,8329477618499924288937839456422639273687975791436452946982677247600686201791409,11055895055355434407829746076386275094442553947669873608388453217858113656359092,468501243316526875864055034227001792215242648039153275428333564149733191265446,13632087184277550594459533099818179103772890781167103307028879851287137272838425,13481861876344156662197413503286447292348649458430912344263530514458733434750075,17825319516345079077696244631806357942518679830580387132285553664521677000396
11,16479458680740500670834155175092873397323915900046554862810833495651988740383704,2023242490019884655838900074168938119432334361784533990605598794770714894725013,12228537930679675307142384852038233771475528718148154421774138244573567162515869,10030554000825523723325842738827400616686650080514604797389890280248953077428318,13961686201404604355098657119473118523449122893195290796916135684202668872626337,5489539031469742751751444609038707623379522711878806740889593674028918314945949,3146507991968113363993588592460847784861273980876558308773545032133497637551131
12,16898234161616116801163092265582338138227014941667364914302983802089790642900026,5984323494743832476913168849678176442468831208701089681669867363630652460397454,4323059001277495928668996522160874649492297689723985661027212249434177918820250,11914440681217107156430575283030432759297414384736052852375018459500367018168414,10226073033615491709488521747350170903500756849425885576250005211423423525277969,17790351559419824038552219300056768950485749528104889512115453287609143673312892,16074880757682929692912284556213547031868967976461658980508081905651731229109206
13,3663704874127498750641971650156065044290174901797528993162737001912409087850467,7344557097751205466766395954621642486741031120896755437094574316677390677779032,11042556670871120148373272913396732327352568657297679331795511944294944769785708,14757703593487242795462602526481334566124787511000300677265549884765071363870495,18489997865599573408034384793875449203057687682004619473504688138087770460033393,3707043986260937535379236330642396369767844725999230041049645921857245825110425,7473632957365684078915923906655535803022107531606943738826984800885089925429545
14,377486022143791256388133522293645241296092735997369405034752383977247941928082,17086433919202053877486797037268636781323831761980429170291222238018606834634204,13062052689280438961877223775051614883316368189326367936842847997312484211790426,6836737833326120960268797120579259415657126462346591384152910444264676306560725,16942884852286274323370900458788250246729531025352505191684690361280979352109078,6315702744266550149764767019805227639766732989721298000511626183549800882107531,12019982511161297340869163573503551331535581244075781169560279475882733362884038
15,15792839375652409927599718259259212468563525263514143951956829828815272873222599,3750695372932570993508708978792474017750743785275516796259634486554428126160036,938358993734832099145738928473144384328504453906929891834975538029058225140280,7355830238059193244510808108301223568296807269408383238682852983239163170163331,4470713604958479978894533133340031701272227787468471157339986039778946728065212,10815404595379866753006297388526248651638190452398599327269655490054205132009900,7857507708376179116136717488923194551011270819887362069008580551659142148833418
16,8199169518583813586668351128239683991095891014066705620298348459811606965182660,14537927951476012273363771781841161293887533569599274486903523941283213782475466,483879797729421609376878575867752039991503222286300920352245662009024218714457,3101816059238390496126438280192815966174648860750596279571075186800630740227587,3859341235055744482903067509879673204053546040680754885096731733252237113850879,2756455325181483569706766264928323753628194762076776736929215301363843339584333,18325553830562782207246917930275447483282019469250067514531806673541245650591926
17,3450811781049758688514260957279330933586234274240011469048785284848520891745618,672630056173305686655684813938258338598667902663599843094001476778705462688361,10197850326317815445133654954913462083420725329582170801598929358196349945992223,13494077090536113513238787995268262299668982110684318665100288146695658108493227,10561310348828199890971083935002658987343438245970043433598077842276629950191373,1399550101194074578330542774116652146444093735439345107092298444939265471086661,4541191848580912026026547897546921645354373023403629365046230737089360904343068
18,17689438356389130869689245606007884508857438014097611247182657312801949304945997,2040384094692103214045523015694312025267854885060047095758966671855286822189872,8650023717750440385196982383869322154381523945821524584118770424377401251223574,453566223669793481724856940659555159431596307759232353335507005556700125719149,14515802614344511405047913455938370777184920859495981762335737980204775912004551,13771941887880245253747385159832409270874648712408961452192901783510036143751826,16754379545224169478532655437278350508884204310809577102370279197878277054124951
