index,s1,s2,s3,s4,s5,s6,s7
1,243729006224109726822494194165795910203,65418698275241977317552732991975134831,58267926262282793510067574960573281856,222276690185232175400038720071590351278,217162623123151659524091560893258131800,42925725076041245882226097425576623422,39848362964839397937816937100314037441
2,44541640141150365034040008667578060637,149812752432358209781954248638608181776,189705895260254920859614373396867016169,164221068624840498267020382942354563816,73358272526114942004172277275070824717,257399873885016715534444663826784010169,35781138859668891931088327733957697578
3,189020171858878913790202516871828862275,39379044800171809950275603583926796854,136776256293769577593431475590730535043,140929439418733753256295525460471865545,51838594175064336938867753193150788360,209786087483699792104522766220535514785,274489552423701655289885957110857833523
4,235080719812265353038531068386642960964,301834000826794018482741293390770529036,278158130994252417041505620707849118657,164053110314640548714824050337878729827,299801305708896876966071189712627573843,4837983335144474868497823968559228111,300010243956198732812227775400978326522
5,247198528533895372102073999868987679069,115913729704981489119589137909495970572,33024745402627902611473752001401004104,338813942547773076041102449576470990962,12434220377601619018351408339401297255,74732679654928921933344450585496556874,185426953458816521322706968882988558522
6,272491606522912000890558106894438681218,284873047131714811777288001960253593813,114688074437702415432671733424916335113,102219055361813275320083908720195116415,247465989904047391439524527846089937719,210146511143466300327618983370832587728,330542986001008465447741882726191277739
7,38124983203662985570868210845504578786,261377591351029796452118619845264533036,53514481686776437442075336473384050879,95100388052779835467487575593399554909,45852943528101527064980729773542833829,246054515033679975697929406445582098936,15140368727638254439584390745980927636
8,279422057658638135572920074895419562966,46769042991180412530588688150003116236,294463147550171958793018618659789825131,1657270572797383970086044129475055760,189198512821872078451914786854363442014,176522140455519115311755631970918561299,303910520394676958012983186910908624912
9,73661510486394670243958435280477907342,270821980906960892166743995272486015524,265244173365123018199533446030612802153,56928087860881048342326787554858267229,326438458236111909521873234708758833346,52928183728000211348048965197009866613,257244365099361344210977801314916000921
10,129411849164928975988562017188647520765,249050564127050631604410654277877084157,179725366353528752093519684425981207536,261718622765301800919263715064728102199,154747966441431314618268138762349556849,199095764302855756653907562950613782783,54479649428636663562807380197752568704
